id,battery_power,m_dep,mobile_wt,px_height,px_width,ram,sc_h,sc_w,talk_time,bluetooth,gen,cores,speed,sim,f_camera,camera,memory,screen,wifi,price
29,851,0.4,200,1171,1263,478,12,7,10,No,3,penta,low,Single,3.0,7.0,21533,LCD,b,584.54
30,1579,0.2,88,1358,1739,3532,17,11,12,Yes,2,hepta,low,Dual,,9.0,5200,LCD,a,1272.59
31,1568,1.0,150,413,654,508,5,1,6,Yes,3,octa,low,Single,16.0,20.0,33587,Touch,a,665.32
32,1319,0.9,107,85,1152,2227,18,5,3,Yes,4,single,low,Single,3.0,18.0,41721,Touch,b,1053.05
33,1310,0.6,100,178,1919,3845,7,0,12,Yes,4,quad,medium,Dual,,,51963,Touch,none,1029.02
34,644,0.7,157,311,881,1262,12,1,15,Yes,3,octa,high,Single,,3.0,22731,LCD,none,595.36
35,725,0.4,160,1134,1249,1326,10,4,15,No,3,octa,medium,Dual,16.0,17.0,60447,LCD,none,921.33
36,589,0.6,160,429,815,2113,13,7,2,Yes,3,quad,high,Dual,1.0,10.0,61734,LCD,g,750.85
37,1725,0.5,119,609,1307,3429,6,5,4,Yes,4,dual,medium,Dual,6.0,18.0,6793,Touch,none,1182.72
38,790,0.3,87,347,730,3169,6,1,2,No,4,hexa,medium,Dual,16.0,17.0,11910,LCD,n,1238.51
39,560,0.3,159,1448,1613,2150,18,12,11,No,3,dual,low,Dual,15.0,20.0,50762,Touch,none,776.5
40,1347,0.6,132,434,967,2484,18,2,11,No,3,single,high,Single,5.0,14.0,44559,LCD,a,819.01
41,1646,0.2,185,1725,1932,3339,18,10,19,Yes,4,dual,high,Single,8.0,10.0,41458,Touch,none,1042.93
42,1253,0.2,152,685,714,1878,15,0,4,Yes,4,dual,low,Dual,5.0,19.0,5278,Touch,none,901.67
43,1656,0.1,166,880,1456,1629,15,12,14,No,4,triple,medium,Single,5.0,7.0,34627,Touch,none,763.26
44,1195,0.8,110,1580,1652,504,9,3,12,Yes,4,dual,high,Single,1.0,14.0,20572,Touch,none,946.17
45,1514,0.2,118,186,1810,1152,8,3,20,No,2,triple,high,Single,,1.0,27564,Touch,a,687.51
46,1723,1.0,164,202,1791,3587,10,5,3,Yes,3,octa,medium,Dual,1.0,14.0,42526,LCD,none,563.23
47,1054,0.8,196,27,774,2296,16,12,12,Yes,4,hepta,medium,Dual,3.0,10.0,40302,LCD,b,685.21
48,578,0.2,162,1025,1433,1270,15,3,5,Yes,4,octa,high,Dual,2.0,8.0,57646,LCD,g,873.76
49,596,0.8,111,885,1854,3238,16,13,10,No,2,octa,medium,Dual,9.0,15.0,64851,LCD,none,767.66
50,1547,0.7,198,1042,1832,2059,5,0,15,Yes,4,triple,high,Dual,2.0,19.0,14315,LCD,g,1124.21
51,1760,0.8,127,1382,1383,2053,19,12,16,No,2,octa,medium,Dual,5.0,19.0,63453,Touch,none,1039.02
52,1654,0.3,109,546,629,3112,12,5,10,Yes,4,dual,medium,Dual,,,43747,Touch,none,985.03
53,1457,0.3,102,1013,1287,1440,17,8,12,No,4,triple,medium,Dual,1.0,10.0,16156,LCD,n,882.89
54,1073,0.5,145,690,804,2908,6,0,18,Yes,2,hepta,low,Dual,,,51524,Touch,none,728.95
55,1936,0.6,104,667,1036,2552,14,7,13,No,4,triple,medium,Dual,10.0,20.0,46075,LCD,none,885.11
56,823,0.5,148,822,1449,905,14,11,17,Yes,3,octa,high,Dual,13.0,19.0,60630,Touch,b,678.04
57,987,0.4,107,581,820,3963,9,4,20,No,4,triple,medium,Dual,,9.0,61155,LCD,g,1148.18
58,1757,0.5,180,265,713,2056,7,5,4,No,2,hexa,low,Single,8.0,14.0,49398,LCD,none,727.74
59,1063,1.0,128,127,683,2910,15,13,9,No,4,penta,medium,Dual,2.0,4.0,48485,Touch,n,1061.5
60,1484,0.6,134,916,969,1457,14,4,20,No,3,triple,high,Single,3.0,5.0,12719,Touch,none,564.65
61,799,0.8,144,361,975,431,15,6,6,Yes,4,octa,high,Single,1.0,6.0,63299,Touch,a,667.36
62,1156,0.8,159,322,547,470,7,0,15,Yes,4,dual,medium,Dual,,,50613,Touch,none,626.46
63,1720,0.5,168,753,1353,2148,14,2,5,No,4,dual,medium,Single,15.0,18.0,55512,Touch,n,913.26
64,702,0.7,141,504,1570,2955,10,4,19,No,4,triple,high,Dual,2.0,3.0,9533,LCD,none,919.42
65,616,0.8,81,651,1618,3366,18,8,13,No,4,triple,medium,Dual,13.0,17.0,44398,Touch,none,1072.8
66,1358,0.3,155,1565,1858,3068,9,4,4,Yes,4,quad,low,Single,11.0,14.0,36411,Touch,none,1260.25
67,1866,0.5,182,108,1781,3834,16,11,8,No,2,triple,medium,Single,,,30842,LCD,none,1404.31
68,1242,0.6,165,459,1225,1050,11,1,4,No,3,dual,medium,Dual,,1.0,10215,LCD,b,519.08
69,1166,0.8,80,205,603,3993,7,1,7,No,4,quad,medium,Dual,,1.0,43314,Touch,none,992.05
70,1448,0.8,138,570,1724,3378,13,11,2,Yes,4,hepta,low,Dual,6.0,11.0,45828,Touch,a,852.63
71,1407,0.7,104,1172,1217,2192,9,7,13,Yes,4,quad,high,Single,1.0,4.0,22296,LCD,b,816.15
72,605,0.1,142,160,1026,392,15,6,4,No,4,triple,medium,Single,8.0,16.0,9616,LCD,none,610.98
73,1038,0.7,141,4,638,3709,11,0,12,No,3,single,medium,Single,3.0,5.0,43261,Touch,a,909.34
74,797,0.5,90,763,1413,590,9,2,6,Yes,2,quad,high,Dual,4.0,6.0,38611,Touch,none,488.27
75,819,0.9,188,339,1242,1814,5,4,13,No,4,hexa,low,Dual,8.0,20.0,42918,LCD,g,854.28
76,1114,0.4,197,1040,1071,907,10,7,17,No,4,triple,high,Single,4.0,15.0,9354,Touch,none,732.31
77,1234,0.6,172,166,778,1449,11,7,6,Yes,2,single,medium,Dual,1.0,3.0,33423,LCD,a,504.69
78,1199,0.2,116,1168,1552,3448,17,13,10,Yes,4,quad,high,Dual,15.0,20.0,16474,LCD,a,1140.04
79,1103,0.7,111,990,1486,1837,8,7,16,No,2,hexa,medium,Dual,6.0,8.0,29336,Touch,b,738.2
80,1589,0.9,85,319,1206,3464,19,10,6,Yes,4,hepta,low,Dual,,7.0,58644,Touch,a,1475.94
81,999,0.2,199,1397,1616,2593,14,11,16,No,4,quad,high,Dual,11.0,19.0,64504,Touch,none,893.03
82,1510,0.9,180,708,1752,3484,9,6,11,Yes,2,penta,low,Dual,2.0,3.0,46144,Touch,a,990.07
83,1008,1.0,114,1077,1122,2009,10,3,11,No,3,triple,low,Single,11.0,15.0,61334,LCD,none,747.7
84,1127,0.8,163,928,1049,2048,11,5,17,Yes,4,single,high,Dual,5.0,13.0,57217,Touch,g,961.45
85,1412,0.8,96,516,1894,837,15,9,4,Yes,2,octa,high,Single,5.0,17.0,25419,LCD,b,486.64
86,1496,0.5,182,96,741,854,16,0,7,Yes,2,penta,medium,Dual,4.0,5.0,42136,Touch,b,546.15
87,1083,0.8,178,1025,1118,3210,13,3,4,Yes,4,triple,high,Dual,1.0,11.0,64579,LCD,none,1233.65
88,668,0.1,155,666,1203,2746,9,5,8,No,3,penta,low,Dual,,13.0,3544,Touch,b,625.74
89,1309,0.5,100,557,1402,2334,10,1,11,No,3,quad,medium,Dual,,14.0,33870,LCD,g,701.21
90,1724,0.5,177,1605,1924,2822,19,3,16,No,4,triple,medium,Dual,2.0,5.0,57363,Touch,none,1187.36
91,1977,1.0,171,1226,1242,1971,18,7,14,Yes,4,hepta,medium,Dual,7.0,18.0,54463,Touch,none,1134.36
92,885,0.4,103,769,802,1410,16,10,5,No,4,hepta,high,Dual,,,15286,Touch,n,804.03
93,879,0.7,83,403,1105,349,16,10,2,Yes,4,hexa,high,Single,11.0,15.0,14808,LCD,b,734.31
94,1322,0.8,140,177,1990,1418,19,17,12,No,2,triple,medium,Dual,6.0,9.0,7836,Touch,none,779.11
95,1137,1.0,196,942,1179,3616,13,5,12,Yes,3,triple,medium,Single,18.0,19.0,7774,Touch,g,992.89
96,1355,0.2,132,651,891,880,19,4,8,No,4,penta,high,Single,10.0,16.0,23150,Touch,none,790.28
97,1665,0.2,194,1572,1684,1601,18,17,14,Yes,4,hexa,low,Single,3.0,18.0,60922,LCD,none,1178.81
98,657,0.7,141,476,961,1412,14,3,18,No,2,dual,high,Single,,1.0,37602,Touch,none,457.76
99,593,0.4,156,1233,1317,1692,6,2,7,No,3,hepta,low,Single,6.0,7.0,31509,LCD,none,794.59
100,1883,0.3,146,836,1739,2600,16,8,20,Yes,4,hexa,low,Single,3.0,13.0,11069,LCD,none,1111.33
101,1732,0.8,119,824,881,1308,16,7,11,Yes,4,octa,medium,Single,4.0,9.0,12441,LCD,a,876.95
102,543,0.7,192,391,984,2413,17,14,15,No,3,penta,low,Single,,4.0,57926,LCD,none,755.06
103,1939,0.6,199,320,520,1047,14,10,18,Yes,4,quad,high,Dual,,10.0,55631,Touch,none,994.14
104,553,0.5,121,325,902,1204,11,4,8,No,4,hepta,high,Dual,1.0,3.0,8265,Touch,b,627.66
105,832,0.7,103,125,1504,1799,5,2,11,No,4,quad,low,Dual,2.0,3.0,39680,LCD,n,878.6
106,1661,1.0,172,846,1634,2676,12,6,11,No,2,penta,medium,Dual,5.0,10.0,23895,Touch,a,918.95
107,1657,0.1,198,1770,1796,2597,18,1,14,Yes,3,penta,high,Single,3.0,16.0,42389,LCD,none,1086.69
108,1135,0.3,83,293,1846,3029,19,17,9,Yes,3,single,medium,Dual,,4.0,46361,Touch,g,1226.18
109,1775,0.1,163,1633,1869,2343,19,13,14,Yes,3,single,medium,Single,3.0,7.0,41532,Touch,b,991.36
110,783,1.0,106,1198,1471,2016,16,4,18,No,4,triple,medium,Dual,,4.0,43611,Touch,none,949.02
111,617,0.5,199,768,874,2213,18,13,7,Yes,2,hepta,high,Single,,20.0,32530,LCD,none,687.37
112,867,0.7,135,70,1974,790,13,6,3,No,4,hexa,medium,Dual,,1.0,4700,Touch,none,661.74
113,1310,1.0,194,117,513,3182,8,4,5,Yes,3,penta,medium,Dual,13.0,14.0,7523,Touch,none,836.94
114,1804,0.6,153,1158,1244,3472,9,1,20,No,4,hepta,low,Single,9.0,19.0,22572,LCD,g,874.33
115,1900,0.2,89,1055,1661,2871,12,1,13,Yes,4,hepta,high,Single,1.0,9.0,18619,Touch,b,1297.15
116,909,0.3,82,635,973,3187,12,9,4,Yes,3,octa,medium,Single,,,53616,LCD,none,868.6
117,1084,0.9,107,322,771,1945,15,4,10,Yes,4,triple,high,Single,3.0,11.0,40594,Touch,none,789.15
118,1308,0.9,199,275,989,488,5,3,9,No,2,single,medium,Dual,8.0,12.0,46309,Touch,none,441.19
119,1778,0.5,102,1445,1954,1214,5,0,14,No,3,triple,low,Single,,,15812,LCD,none,1028.68
120,1701,0.3,194,550,1338,2598,12,9,6,Yes,2,octa,medium,Dual,3.0,7.0,10300,Touch,none,792.04
121,772,0.5,80,1242,1712,3242,18,11,4,Yes,4,quad,high,Dual,1.0,2.0,10485,Touch,none,1104.95
122,825,0.9,130,597,863,3534,10,4,6,Yes,2,triple,low,Dual,7.0,10.0,52878,Touch,none,769.71
123,1379,0.8,200,538,1376,3426,5,4,17,No,4,dual,medium,Single,5.0,7.0,36941,Touch,a,1124.46
124,1166,0.8,198,59,1203,2488,13,5,15,No,4,penta,medium,Single,3.0,4.0,25685,LCD,none,739.5
125,1659,0.6,89,819,902,3255,19,14,9,No,2,single,high,Single,5.0,20.0,16687,LCD,a,709.62
126,826,0.3,88,179,786,2863,9,3,18,Yes,4,quad,high,Dual,,1.0,58476,LCD,a,792.55
127,1564,0.5,189,1259,1965,1496,6,4,7,No,4,hexa,high,Single,4.0,17.0,25260,Touch,n,783.0
128,1957,0.6,181,396,1732,3801,12,0,7,No,3,triple,low,Dual,11.0,16.0,31554,LCD,n,854.36
129,1571,0.1,100,713,1398,666,12,10,13,No,4,hexa,medium,Single,,1.0,20028,Touch,none,817.21
130,1414,0.8,99,262,829,3799,17,7,7,No,3,hepta,medium,Dual,2.0,3.0,55032,LCD,g,1173.98
131,1790,0.1,184,622,792,1366,7,0,20,No,3,single,high,Dual,9.0,14.0,2274,Touch,a,700.13
132,645,1.0,197,327,580,2962,12,9,4,No,3,hepta,low,Single,1.0,10.0,41430,Touch,b,570.95
133,668,0.2,195,522,1056,2399,10,5,7,No,3,octa,high,Dual,7.0,12.0,30237,Touch,g,779.64
134,1652,0.7,89,313,1264,2338,12,8,20,Yes,2,quad,medium,Dual,1.0,5.0,36195,LCD,none,748.99
135,1213,0.5,108,226,1248,2700,12,3,9,Yes,2,penta,low,Single,,,16267,LCD,g,915.55
136,1272,0.9,133,605,669,2235,19,4,4,Yes,3,hexa,high,Dual,,8.0,22352,LCD,none,839.85
137,866,0.5,179,692,1686,3825,12,11,2,No,4,octa,low,Dual,5.0,7.0,46396,Touch,n,934.12
138,536,0.3,182,1386,1539,284,12,9,4,No,4,hepta,high,Dual,12.0,14.0,3561,Touch,none,676.17
139,523,0.1,155,304,1042,1427,9,1,9,No,2,octa,high,Dual,1.0,2.0,14343,Touch,none,572.78
140,1753,0.1,134,1590,1926,1324,17,0,17,No,4,single,low,Dual,,18.0,31913,LCD,g,1129.62
141,1218,0.5,147,229,616,398,17,0,5,No,4,triple,medium,Dual,1.0,4.0,14676,LCD,none,639.66
142,1537,0.3,137,839,1131,3685,18,17,17,Yes,4,single,high,Single,4.0,5.0,43332,Touch,n,1116.11
143,786,0.5,141,507,1697,2390,12,11,5,No,3,hepta,medium,Dual,,6.0,33661,LCD,a,779.76
144,1678,0.9,134,436,536,278,19,0,10,No,4,triple,medium,Single,3.0,11.0,64493,Touch,none,815.16
145,1814,0.4,141,756,786,3556,18,12,16,No,4,dual,medium,Dual,1.0,2.0,9509,LCD,none,1164.8
146,1101,0.2,148,387,1269,2196,12,6,19,No,2,dual,medium,Single,,7.0,31494,Touch,b,588.16
147,1461,0.5,141,1265,1298,3799,16,1,4,No,4,hepta,high,Dual,3.0,4.0,40417,LCD,none,1202.09
148,1216,0.4,199,1852,1967,2268,13,5,4,No,2,triple,high,Single,4.0,7.0,47369,Touch,n,739.1
149,506,0.8,159,875,1025,2965,13,10,15,No,4,single,medium,Single,6.0,7.0,41520,LCD,none,848.12
150,843,0.1,147,140,800,2341,10,1,20,Yes,4,penta,low,Single,1.0,17.0,56073,Touch,b,593.79
151,742,0.2,190,577,1359,3557,16,11,12,No,2,hepta,medium,Dual,4.0,14.0,56362,Touch,b,662.44
152,1692,0.9,176,975,1996,1354,16,7,19,Yes,4,hexa,medium,Single,3.0,12.0,61262,LCD,none,1148.49
153,1485,0.7,84,510,1013,2147,19,1,11,No,4,dual,medium,Single,2.0,9.0,32499,Touch,none,1161.59
154,1547,0.7,166,583,590,505,12,2,3,No,2,dual,high,Dual,6.0,8.0,45412,Touch,a,442.37
155,1692,0.9,139,674,1925,1394,16,10,6,No,4,single,high,Dual,4.0,6.0,46889,Touch,none,1186.81
156,637,0.8,97,1125,1989,374,18,4,8,No,4,quad,high,Single,3.0,4.0,60202,LCD,g,721.1
157,1224,0.4,109,747,826,506,10,0,11,No,4,hexa,low,Single,16.0,18.0,6467,Touch,n,709.36
158,1356,0.5,198,1612,1983,3702,17,0,19,No,2,hexa,high,Single,,,29642,LCD,none,1084.37
159,1840,0.7,142,311,1545,1078,8,0,10,No,2,single,low,Dual,12.0,16.0,34536,LCD,none,846.37
160,1481,0.6,96,116,1533,2945,10,5,16,Yes,4,penta,low,Dual,4.0,13.0,37419,Touch,b,948.21
161,961,0.3,152,554,621,2981,15,6,7,Yes,3,hexa,medium,Dual,10.0,16.0,51494,Touch,b,639.09
162,1296,0.5,124,811,1272,490,7,1,4,No,4,penta,low,Dual,,3.0,14443,Touch,g,782.39
163,1193,0.5,166,730,1729,536,17,14,4,No,3,single,low,Single,11.0,20.0,26548,LCD,b,613.58
164,1441,0.1,118,577,1071,2317,16,4,7,No,4,octa,medium,Dual,11.0,17.0,3311,LCD,g,843.97
165,517,0.8,183,660,974,3704,17,16,11,No,4,quad,medium,Dual,3.0,8.0,33332,LCD,n,870.93
166,748,0.9,150,450,1554,2126,18,9,7,Yes,4,octa,medium,Single,,4.0,27403,LCD,none,888.93
167,1126,0.4,160,1223,1611,2050,7,6,12,Yes,4,hexa,high,Single,2.0,3.0,10458,Touch,g,1054.12
168,1572,0.2,157,1109,1937,2462,12,8,10,No,4,hepta,low,Single,,8.0,58869,LCD,none,956.21
169,1569,0.3,110,45,1942,1260,9,2,17,No,3,quad,high,Dual,17.0,20.0,44554,LCD,none,736.97
170,1270,0.5,101,299,845,3770,5,3,13,Yes,4,hepta,low,Dual,2.0,6.0,32479,Touch,none,1315.62
171,1854,0.1,101,506,627,1886,17,4,20,No,4,penta,high,Single,2.0,5.0,8937,Touch,none,1100.11
172,625,0.2,183,635,842,3323,9,1,7,Yes,4,quad,medium,Dual,5.0,8.0,10372,Touch,n,894.4
173,1577,0.3,197,1045,1737,2060,19,6,12,No,4,penta,low,Dual,,4.0,42519,LCD,none,904.76
174,534,1.0,189,393,1199,3926,16,12,20,No,4,penta,low,Dual,,1.0,16668,LCD,none,1167.1
175,946,0.8,143,650,1740,2177,7,5,13,No,4,hexa,medium,Dual,8.0,15.0,25461,Touch,b,817.24
176,685,0.8,93,433,648,728,14,8,4,No,2,hepta,low,Single,2.0,10.0,29354,LCD,b,450.72
177,1949,0.1,101,839,1136,2478,14,8,20,No,3,penta,medium,Dual,,1.0,23813,LCD,none,922.71
178,947,0.1,197,1176,1220,2842,16,12,2,No,4,dual,low,Dual,,13.0,23009,LCD,none,753.34
179,801,0.4,165,650,879,1617,17,4,19,Yes,2,hepta,medium,Dual,2.0,4.0,63452,LCD,a,600.35
180,703,0.3,113,218,1065,1472,14,7,7,Yes,4,single,high,Single,12.0,20.0,30581,LCD,none,590.45
181,1165,0.2,178,564,831,764,19,12,15,Yes,3,hexa,high,Single,11.0,12.0,41549,LCD,none,548.61
182,1082,0.1,198,986,1191,2337,6,1,17,No,2,octa,low,Single,,5.0,38663,Touch,b,632.06
183,959,1.0,84,561,1631,3965,16,1,6,Yes,3,quad,high,Dual,15.0,19.0,20507,LCD,none,1044.24
184,1502,0.2,138,65,588,3693,17,14,16,Yes,3,penta,medium,Single,,12.0,54547,Touch,none,1014.68
185,1380,0.8,92,420,500,797,13,2,15,Yes,4,triple,medium,Dual,1.0,13.0,4274,Touch,none,817.57
186,1266,0.1,95,1365,1698,1687,11,0,18,No,4,hexa,low,Single,,9.0,5311,LCD,none,968.23
187,1934,0.1,103,619,1299,2940,13,9,2,Yes,4,single,high,Dual,,17.0,46527,Touch,a,1234.38
188,1905,0.5,151,849,898,1545,9,5,10,Yes,4,single,low,Single,3.0,5.0,6455,Touch,none,932.66
189,1831,0.9,150,611,1381,3834,17,7,13,No,3,penta,medium,Dual,2.0,5.0,43589,Touch,g,1363.66
190,596,0.6,165,953,984,2505,15,4,15,No,3,single,medium,Single,8.0,18.0,46364,Touch,none,877.36
191,1562,0.2,190,642,1533,2243,12,10,6,Yes,4,penta,medium,Dual,1.0,15.0,7777,LCD,none,788.25
192,1490,0.3,150,1417,1464,3600,17,9,7,Yes,4,octa,low,Dual,4.0,8.0,64693,Touch,a,1452.75
193,1523,0.2,117,247,539,3971,18,12,10,Yes,4,dual,high,Single,5.0,6.0,57249,Touch,g,1153.33
194,640,0.1,163,710,1179,2844,7,5,18,No,3,quad,low,Single,,15.0,20463,Touch,none,848.17
195,1526,0.2,117,718,751,2227,18,10,3,No,4,hepta,medium,Single,1.0,8.0,23665,Touch,none,1168.7
196,1989,0.8,94,1100,1497,1665,17,9,12,No,4,triple,high,Dual,,13.0,41466,Touch,n,990.87
197,1308,0.7,106,59,1215,3355,15,2,4,No,4,triple,medium,Single,,7.0,61319,LCD,n,789.23
198,609,0.3,93,938,1948,1866,11,10,14,No,3,quad,low,Single,3.0,4.0,26153,Touch,a,665.39
199,1905,0.4,119,825,1542,1287,13,4,16,No,4,triple,low,Dual,9.0,20.0,36546,LCD,none,952.12
200,1703,0.6,192,286,1235,1046,5,4,13,Yes,4,single,low,Single,,,22483,LCD,g,883.01
201,1445,0.4,173,1273,1345,1441,7,4,13,Yes,4,hepta,high,Dual,7.0,15.0,19923,Touch,b,1023.47
202,1087,0.3,166,295,589,690,14,6,6,No,4,triple,medium,Single,,9.0,16658,LCD,g,736.9
203,671,0.7,105,852,1182,2504,6,4,15,No,3,hepta,low,Dual,10.0,17.0,30814,LCD,none,867.74
204,1472,0.1,168,710,1052,2677,19,15,8,Yes,3,hexa,high,Single,6.0,19.0,61198,LCD,none,1008.63
205,765,0.3,115,1277,1429,2243,11,7,4,No,4,octa,low,Dual,,1.0,47485,LCD,g,729.56
206,1642,0.3,171,129,873,2984,13,4,17,No,4,hexa,low,Dual,16.0,17.0,8636,LCD,g,942.77
207,1265,0.7,182,690,836,1362,5,0,12,No,2,penta,medium,Single,7.0,16.0,49467,LCD,b,431.8
208,664,0.1,110,701,1478,3629,19,15,6,Yes,4,hepta,medium,Dual,1.0,4.0,51742,Touch,a,1163.48
209,1277,0.4,142,309,1460,3559,18,17,6,Yes,4,hexa,low,Dual,,6.0,35265,Touch,none,1112.27
210,1395,0.1,111,213,705,2571,11,0,13,No,3,triple,medium,Dual,,1.0,23362,LCD,b,1045.32
211,1539,0.1,159,1112,1666,2107,15,9,10,Yes,3,octa,high,Single,,,41319,LCD,n,734.57
212,1049,0.5,135,199,1077,1022,11,3,13,Yes,2,penta,medium,Single,9.0,17.0,64032,LCD,none,558.07
213,1827,0.5,128,55,1020,2844,14,9,10,No,4,penta,medium,Single,4.0,16.0,40017,Touch,none,893.97
214,903,0.4,91,1230,1235,711,9,5,10,No,4,single,medium,Dual,,,50531,Touch,none,802.07
215,1987,1.0,181,1052,1516,3117,18,5,8,Yes,4,triple,low,Single,3.0,7.0,53211,Touch,g,1224.25
216,1154,0.2,181,541,1499,978,5,3,7,No,4,octa,medium,Dual,,2.0,49538,LCD,b,848.49
217,1336,0.2,194,55,583,1869,13,1,16,No,4,penta,low,Single,5.0,9.0,17708,Touch,a,877.52
218,1886,0.4,112,809,1958,1179,16,7,20,No,4,triple,low,Single,,1.0,24708,LCD,a,727.25
219,1551,0.1,88,1738,1995,3844,11,8,4,No,2,penta,medium,Single,4.0,6.0,51487,Touch,none,1392.7
220,850,0.5,133,404,642,593,19,17,10,Yes,4,penta,medium,Dual,6.0,19.0,29651,LCD,a,572.82
221,660,0.5,111,262,1178,588,6,5,18,No,4,dual,low,Single,5.0,10.0,40501,Touch,b,793.31
222,1225,0.5,116,759,1404,3836,12,11,11,Yes,2,quad,medium,Dual,8.0,12.0,13247,LCD,none,779.12
223,1452,0.9,123,42,1040,2669,12,10,13,Yes,4,hexa,low,Dual,1.0,11.0,25808,LCD,none,880.85
224,1686,0.1,166,397,1453,2958,14,11,2,Yes,2,quad,high,Dual,3.0,4.0,38423,LCD,none,721.95
225,1634,0.2,200,964,1677,3031,11,6,6,Yes,4,dual,medium,Single,1.0,5.0,18001,Touch,a,1027.44
226,1708,0.1,109,233,517,3388,6,4,16,Yes,4,single,high,Dual,18.0,19.0,48950,Touch,g,1130.99
227,1151,0.6,128,1022,1560,2377,18,8,13,Yes,2,octa,high,Dual,,1.0,31072,Touch,none,672.13
228,1578,0.1,138,411,1226,2458,19,16,3,No,4,quad,medium,Dual,2.0,19.0,37538,LCD,a,932.55
229,1689,0.3,127,954,1200,2766,7,2,7,No,2,triple,medium,Single,17.0,18.0,24319,Touch,b,690.48
230,1488,0.8,112,1528,1647,3054,14,10,19,No,2,penta,low,Single,1.0,6.0,39449,LCD,none,920.11
231,1313,0.4,105,416,1308,3791,11,10,6,Yes,2,single,medium,Dual,4.0,6.0,9634,Touch,g,1005.99
232,1715,0.5,83,638,1615,625,17,6,13,No,4,octa,medium,Dual,4.0,17.0,31042,LCD,none,909.68
233,1442,0.1,192,231,687,2227,6,5,20,No,3,triple,medium,Dual,,19.0,26879,Touch,none,849.08
234,528,0.8,142,574,637,3256,9,8,6,No,4,dual,medium,Single,12.0,15.0,6503,Touch,none,1047.64
