sim,battery_power,gen,ram,px_width,px_height,price,speed,cores,bluetooth,wifi,speed_ord,cores_ord,sim_ord,bluetooth_bin,gen_2,gen_3,gen_4,cores_dual,cores_hepta,cores_hexa,cores_octa,cores_penta,cores_quad,cores_single,cores_triple,screen_LCD,screen_Touch,wifi_a,wifi_b,wifi_g,wifi_n,wifi_none,sim_Dual,sim_Single
Single,1412,2,837,1894,516,486.64,high,octa,Yes,b,3,8,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Dual,1496,2,854,741,96,546.15,medium,penta,Yes,b,2,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Dual,1083,4,3210,1118,1025,1233.65,high,triple,Yes,none,3,3,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Dual,668,3,2746,1203,666,625.74,low,penta,No,b,1,5,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Dual,1309,3,2334,1402,557,701.21,medium,quad,No,g,2,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Dual,1724,4,2822,1924,1605,1187.36,medium,triple,No,none,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Dual,1977,4,1971,1242,1226,1134.36,medium,hepta,Yes,none,2,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,885,4,1410,802,769,804.03,high,hepta,No,n,3,7,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Single,879,4,349,1105,403,734.31,high,hexa,Yes,b,3,6,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Dual,1322,2,1418,1990,177,779.11,medium,triple,No,none,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Single,1137,3,3616,1179,942,992.89,medium,triple,Yes,g,2,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
Single,1355,4,880,891,651,790.28,high,penta,No,none,3,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Single,1665,4,1601,1684,1572,1178.81,low,hexa,Yes,none,1,6,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,657,2,1412,961,476,457.76,high,dual,No,none,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Single,593,3,1692,1317,1233,794.59,low,hepta,No,none,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,1883,4,2600,1739,836,1111.33,low,hexa,Yes,none,1,6,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,1732,4,1308,881,824,876.95,medium,octa,Yes,a,2,8,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Single,543,3,2413,984,391,755.06,low,penta,No,none,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
Dual,1939,4,1047,520,320,994.14,high,quad,Yes,none,3,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
Dual,553,4,1204,902,325,627.66,high,hepta,No,b,3,7,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Dual,832,4,1799,1504,125,878.6,low,quad,No,n,1,4,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Dual,1661,2,2676,1634,846,918.95,medium,penta,No,a,2,5,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
Single,1657,3,2597,1796,1770,1086.69,high,penta,Yes,none,3,5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
Dual,1135,3,3029,1846,293,1226.18,medium,single,Yes,g,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Single,1775,3,2343,1869,1633,991.36,medium,single,Yes,b,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Dual,783,4,2016,1471,1198,949.02,medium,triple,No,none,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Single,617,2,2213,874,768,687.37,high,hepta,Yes,none,3,7,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,867,4,790,1974,70,661.74,medium,hexa,No,none,2,6,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,1310,3,3182,513,117,836.94,medium,penta,Yes,none,2,5,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Single,1804,4,3472,1244,1158,874.33,low,hepta,No,g,1,7,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Single,1900,4,2871,1661,1055,1297.15,high,hepta,Yes,b,3,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Single,909,3,3187,973,635,868.6,medium,octa,Yes,none,2,8,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,1084,4,1945,771,322,789.15,high,triple,Yes,none,3,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Dual,1308,2,488,989,275,441.19,medium,single,No,none,2,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
Single,1778,3,1214,1954,1445,1028.68,low,triple,No,none,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
Dual,1701,2,2598,1338,550,792.04,medium,octa,Yes,none,2,8,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,772,4,3242,1712,1242,1104.95,high,quad,Yes,none,3,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
Dual,825,2,3534,863,597,769.71,low,triple,Yes,none,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Single,1379,4,3426,1376,538,1124.46,medium,dual,No,a,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Single,1166,4,2488,1203,59,739.5,medium,penta,No,none,2,5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
Single,1659,2,3255,902,819,709.62,high,single,No,a,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
Dual,826,4,2863,786,179,792.55,high,quad,Yes,a,3,4,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
Single,1564,4,1496,1965,1259,783.0,high,hexa,No,n,3,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Dual,1957,3,3801,1732,396,854.36,low,triple,No,n,1,3,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Single,1571,4,666,1398,713,817.21,medium,hexa,No,none,2,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dual,1414,3,3799,829,262,1173.98,medium,hepta,No,g,2,7,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Dual,1790,3,1366,792,622,700.13,high,single,No,a,3,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
Single,645,3,2962,580,327,570.95,low,hepta,No,b,1,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Dual,668,3,2399,1056,522,779.64,high,octa,No,g,3,8,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
Dual,1652,2,2338,1264,313,748.99,medium,quad,Yes,none,2,4,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
Single,1213,2,2700,1248,226,915.55,low,penta,Yes,g,1,5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
Dual,1272,3,2235,669,605,839.85,high,hexa,Yes,none,3,6,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Dual,866,4,3825,1686,692,934.12,low,octa,No,n,1,8,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Dual,536,4,284,1539,1386,676.17,high,hepta,No,none,3,7,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,523,2,1427,1042,304,572.78,high,octa,No,none,3,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
Dual,1753,4,1324,1926,1590,1129.62,low,single,No,g,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Dual,1218,4,398,616,229,639.66,medium,triple,No,none,2,3,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Single,1537,4,3685,1131,839,1116.11,high,single,Yes,n,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Dual,786,3,2390,1697,507,779.76,medium,hepta,No,a,2,7,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Single,1678,4,278,536,436,815.16,medium,triple,No,none,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Dual,1814,4,3556,786,756,1164.8,medium,dual,No,none,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Single,1101,2,2196,1269,387,588.16,medium,dual,No,b,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Dual,1461,4,3799,1298,1265,1202.09,high,hepta,No,none,3,7,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Single,1216,2,2268,1967,1852,739.1,high,triple,No,n,3,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
Single,506,4,2965,1025,875,848.12,medium,single,No,none,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
Single,843,4,2341,800,140,593.79,low,penta,Yes,b,1,5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Dual,742,2,3557,1359,577,662.44,medium,hepta,No,b,2,7,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Single,1692,4,1354,1996,975,1148.49,medium,hexa,Yes,none,2,6,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,1485,4,2147,1013,510,1161.59,medium,dual,No,none,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Dual,1547,2,505,590,583,442.37,high,dual,No,a,3,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Dual,1692,4,1394,1925,674,1186.81,high,single,No,none,3,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
Single,637,4,374,1989,1125,721.1,high,quad,No,g,3,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Single,1224,4,506,826,747,709.36,low,hexa,No,n,1,6,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Single,1356,2,3702,1983,1612,1084.37,high,hexa,No,none,3,6,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,1840,2,1078,1545,311,846.37,low,single,No,none,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
Dual,1481,4,2945,1533,116,948.21,low,penta,Yes,b,1,5,2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
Dual,961,3,2981,621,554,639.09,medium,hexa,Yes,b,2,6,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Dual,1296,4,490,1272,811,782.39,low,penta,No,g,1,5,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
Single,1193,3,536,1729,730,613.58,low,single,No,b,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Dual,1441,4,2317,1071,577,843.97,medium,octa,No,g,2,8,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Dual,517,4,3704,974,660,870.93,medium,quad,No,n,2,4,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Single,748,4,2126,1554,450,888.93,medium,octa,Yes,none,2,8,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
Single,1126,4,2050,1611,1223,1054.12,high,hexa,Yes,g,3,6,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Single,1572,4,2462,1937,1109,956.21,low,hepta,No,none,1,7,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Dual,1569,3,1260,1942,45,736.97,high,quad,No,none,3,4,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
Dual,1270,4,3770,845,299,1315.62,low,hepta,Yes,none,1,7,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Single,1854,4,1886,627,506,1100.11,high,penta,No,none,3,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Dual,625,4,3323,842,635,894.4,medium,quad,Yes,n,2,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
