Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy,Family,Class
Lithuania,Central and Eastern Europe,,5.833,0.03843,,1.25745,G
Nicaragua,Latin America and Caribbean,57,5.828,0.05371,0.59325,1.14184,G
,Latin America and Caribbean,58,5.824,0.04615,,0.97459,H
Belarus,Central and Eastern Europe,59,5.813,0.03938,1.03192,1.23289,H
Poland,Central and Eastern Europe,60,5.791,0.04263,1.12555,1.27948,H
Malaysia,Southeastern Asia,61,5.77,0.0433,1.12486,1.07023,H
Croatia,Central and Eastern Europe,62,5.759,0.04394,1.08254,0.79624,H
,,,5.754,0.07832,1.13145,,H
Russia,Central and Eastern Europe,64,5.716,0.03135,1.13764,1.23617,H
Jamaica,Latin America and Caribbean,65,5.709,0.13693,0.81038,1.15102,H
North Cyprus,Western Europe,66,5.695,0.05635,1.20806,1.07008,H
Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,H
Algeria,Middle East and Northern Africa,68,,0.05099,,1.07772,
Kosovo,Central and Eastern Europe,69,5.589,0.05018,0.80148,0.81198,H
Turkmenistan,Central and Eastern Europe,70,5.548,0.04175,0.95847,1.22668,H
Mauritius,Sub-Saharan Africa,71,5.477,0.07197,1.00761,,H
Hong Kong,Eastern Asia,,5.474,,,1.05818,H
Estonia,Central and Eastern Europe,73,5.429,0.04013,1.15174,1.22791,H
Indonesia,Southeastern Asia,74,5.399,0.02596,0.82827,1.08708,H
,Southeastern Asia,,5.36,0.03107,,,H
,,76,,,1.06098,0.94632,I
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.03823,0.47428,1.15115,I
Nigeria,Sub-Saharan Africa,78,5.268,0.04192,0.65435,0.90432,I
Bhutan,Southern Asia,79,5.253,0.03225,0.77042,1.10395,I
Azerbaijan,Central and Eastern Europe,80,5.212,0.03363,1.02389,0.93793,I
Pakistan,Southern Asia,81,5.194,0.03726,0.59543,0.41411,I
Jordan,Middle East and Northern Africa,82,5.192,0.04524,0.90198,1.05392,I
Montenegro,Central and Eastern Europe,82,5.192,0.05235,0.97438,0.90557,J
China,Eastern Asia,84,,0.02424,0.89012,0.94675,
Zambia,Sub-Saharan Africa,85,5.129,0.06988,0.47038,0.91612,J
Romania,Central and Eastern Europe,86,5.124,0.06607,1.04345,0.88588,J
Serbia,Central and Eastern Europe,87,5.123,0.04864,0.92053,1.00964,J
Portugal,Western Europe,88,5.102,0.04802,1.15991,1.13935,J
Latvia,Central and Eastern Europe,89,5.098,0.0464,1.11312,1.09562,J
Philippines,Southeastern Asia,90,5.073,0.04934,0.70532,1.03516,K
Somaliland region,Sub-Saharan Africa,,5.057,0.06161,0.18847,,K
Morocco,Middle East and Northern Africa,92,5.013,0.0342,0.73479,0.64095,K
Macedonia,Central and Eastern Europe,93,5.007,0.05376,0.91851,1.00232,K
Mozambique,,94,4.971,0.07896,,1.02626,K
Albania,Central and Eastern Europe,95,4.959,0.05013,0.87867,0.80434,K
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.83223,0.91916,K
Lesotho,Sub-Saharan Africa,97,4.898,0.09438,0.37545,1.04103,K
Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,0.89537,1.17202,K
Laos,Southeastern Asia,99,4.876,0.06698,0.59066,0.73803,K
Mongolia,Eastern Asia,100,4.874,0.03313,0.82819,1.3006,K
Swaziland,Sub-Saharan Africa,101,4.867,0.08742,0.71206,1.07284,K
Greece,Western Europe,102,4.857,0.05062,1.15406,0.92933,K
Lebanon,Middle East and Northern Africa,103,4.839,0.04337,1.02564,0.80001,K
Hungary,Central and Eastern Europe,104,4.8,0.06107,1.12094,1.20215,K
Honduras,Latin America and Caribbean,105,4.788,0.05648,0.59532,0.95348,K
Tajikistan,Central and Eastern Europe,106,4.786,0.03198,0.39047,0.85563,K
Tunisia,Middle East and Northern Africa,107,4.739,0.03589,0.88113,0.60429,K
Palestinian Territories,Middle East and Northern Africa,108,4.715,0.04394,0.59867,0.92558,K
Bangladesh,Southern Asia,109,4.694,0.03077,0.39753,0.43106,K
Iran,Middle East and Northern Africa,110,4.686,0.04449,1.0088,0.54447,L
,Central and Eastern Europe,111,,0.04412,0.79907,1.20278,L
Iraq,Middle East and Northern Africa,112,4.677,0.05232,0.98549,0.81889,L
South Africa,Sub-Saharan Africa,113,4.642,0.04585,0.92049,1.18468,L
Ghana,,,4.633,0.04742,,0.67954,L
Zimbabwe,Sub-Saharan Africa,115,4.61,0.0429,0.271,1.03276,L
Liberia,Sub-Saharan Africa,116,4.571,0.11068,0.0712,0.78968,L
India,Southern Asia,117,4.565,0.02043,0.64499,0.38174,L
Sudan,Sub-Saharan Africa,118,4.55,0.0674,0.52107,1.01404,L
Haiti,Latin America and Caribbean,119,4.518,0.07331,0.26673,0.74302,L
Congo (Kinshasa),,120,4.517,0.0368,0,1.0012,
Nepal,Southern Asia,121,4.514,0.03607,0.35997,0.86449,M
Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19073,0.60406,M
Sierra Leone,Sub-Saharan Africa,123,4.507,0.07068,0.33024,0.95571,M
Mauritania,Sub-Saharan Africa,124,,0.03947,0.45407,0.86908,M
Kenya,,125,4.419,,,,M
Djibouti,Sub-Saharan Africa,126,4.369,0.08096,0.44025,0.59207,M
Armenia,Central and Eastern Europe,127,4.35,0.04763,0.76821,0.77711,M
Botswana,Sub-Saharan Africa,128,4.332,0.04934,0.99355,1.10464,M
Myanmar,,129,4.307,,0.27108,0.70905,M
Georgia,Central and Eastern Europe,130,4.297,0.04221,0.7419,0.38562,N
Malawi,Sub-Saharan Africa,131,4.292,,0.01604,0.41134,N
Sri Lanka,Southern Asia,132,4.271,0.03751,0.83524,1.01905,N
Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.88767,N
Bulgaria,Central and Eastern Europe,134,4.218,0.04828,1.01216,1.10614,N
Egypt,Middle East and Northern Africa,135,4.194,0.0326,0.8818,0.747,N
Yemen,Middle East and Northern Africa,136,4.077,0.04367,0.54649,0.68093,N
Angola,Sub-Saharan Africa,137,4.033,0.04758,0.75778,0.8604,N
Mali,Sub-Saharan Africa,138,3.995,0.05602,0.26074,1.03526,N
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.06682,0.67866,0.6629,N
Comoros,Sub-Saharan Africa,140,3.956,0.04797,0.23906,0.79273,N
Uganda,Sub-Saharan Africa,141,3.931,0.04317,0.21102,1.13299,N
Senegal,Sub-Saharan Africa,142,3.904,0.03608,0.36498,0.97619,O
,Sub-Saharan Africa,,3.896,0.04547,1.06024,0.90528,O
Niger,Sub-Saharan Africa,144,3.845,0.03602,0.0694,0.77265,O
Cambodia,Southeastern Asia,145,3.819,0.05069,0.46038,0.62736,O
Tanzania,Sub-Saharan Africa,146,3.781,0.05061,0.2852,1.00268,O
Madagascar,Sub-Saharan Africa,147,3.681,0.03633,0.20824,0.66801,P
Central African Republic,,148,3.678,,,,
Chad,Sub-Saharan Africa,149,3.667,0.0383,0.34193,0.76062,P
Guinea,Sub-Saharan Africa,150,3.656,0.0359,0.17417,0.46475,P
Ivory Coast,Sub-Saharan Africa,151,3.655,0.05141,0.46534,0.77115,P
Burkina Faso,Sub-Saharan Africa,152,3.587,0.04324,0.25812,0.85188,P
Afghanistan,Southern Asia,153,3.575,0.03084,0.31982,0.30285,P
Rwanda,Sub-Saharan Africa,154,3.465,0.03464,0.22208,0.7737,Q
Benin,Sub-Saharan Africa,155,3.34,0.03656,0.28665,0.35386,Q
Syria,Middle East and Northern Africa,156,3.006,0.05015,0.6632,0.47489,Q
Burundi,Sub-Saharan Africa,157,2.905,0.08658,0.0153,0.41587,Q
,,,,0.06727,0.20868,,Q
